"Proveedor","Estatus","Categoría","Subcategoria","Codigo","Descripcion ","Udm","Metraje","Formato","Tipo","Tipologia ","Color","Acabado","Corte","Precio sistema Caja","Precio Regular M2","Descuento autorizado Oferta Final ","Oferta Final M2 ","Precio M2 con complementos"
"Vitromex","Master","Pisos ","Pisos Vitromex",522065441567481,"PISO BERNAL GRAFITO 51X102 1.57 M2","M2",1.57,"51x102","Cerámico","Cantera","Gris","Mate","No Rectificado"," $529.00 "," $336.94 ",17.20%," $279.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522837438016271,"PISO EDIMBURGO NEGRO 80 CM X160 CM 2.56 M2/CAJA PUL Y RECT","M2",2.56,"80x160","Porcelánico","Marmol","Negro","Pulido","Rectificado"," $1,899.00 "," $741.80 ",20.60%," $589.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",520012403294211,"PISO MONET CEDRO 16.5X100 CM 0.99 M2/CAJA RECTIFICADO","M2",0.99,"16.5x100","Cerámico","Madera","Café","Mate","Rectificado"," $359.00 "," $362.63 ",20.30%," $289.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",520012403284931,"PISO MONET HAYA 16.5X100 1.49 M2 CTDO Y RECTIFICADO","M2",1.49,"16.5x100","Cerámico","Madera","Beige","Mate","Rectificado"," $539.00 "," $361.74 ",20.11%," $289.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",520012403027931,"PISO MONET NOGAL 16.5X100 1.49 M2 RECT","M2",1.49,"16.5x100","Cerámico","Madera","Beige","Mate","Rectificado"," $539.00 "," $361.74 ",20.11%," $289.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",520012403810931,"PISO MONET CENIZA 16.5X100 1.49 M2 CTDO Y RECTIFICADO","M2",1.49,"16.5x100","Cerámico","Madera","Gris","Mate","Rectificado"," $539.00 "," $361.74 ",20.11%," $289.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",520012402294921,"PISO MONET CEDRO 25X100 2.25 M2 RECTIFICADO","M2",2.25,"25x100","Cerámico","Madera","Café","Mate","Rectificado"," $809.00 "," $359.56 ",19.62%," $289.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",520012402027921,"PISO MONET NOGAL 25X100 2.25 M2 RECTIFICADO","M2",2.25,"25x100","Cerámico","Madera","Beige","Mate","Rectificado"," $809.00 "," $359.56 ",19.62%," $289.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",520012402810921,"PISO MONET CENIZA 25X100 2.25 M2 RECTIFICADO","M2",2.25,"25x100","Cerámico","Madera","Gris","Mate","Rectificado"," $809.00 "," $359.56 ",19.62%," $289.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",520012402284921,"PISO MONET HAYA 25X100 2.25 M2 RECTIFICADO","M2",2.25,"25x100","Cerámico","Madera","Beige","Mate","Rectificado"," $809.00 "," $359.56 ",19.62%," $289.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522514254282681,"PISO SAN GABRIEL GRAY 50X100 CM 1.5 M2/CAJA RECT","M2",1.5,"50x100","Cerámico","Marmol","Gris","Mate","Rectificado"," $539.00 "," $359.33 ",19.57%," $289.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522370254011481,"PISO AMBERES GRIS 50X100 CM 1.5 M2/CAJA RECT","M2",1.5,"50x100","Cerámico","Marmol","Gris","Mate","Rectificado"," $539.00 "," $359.33 ",19.57%," $289.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522370254264481,"PISO AMBERES NATURAL 50X100 CM 1.5 M2/CAJA RECT","M2",1.5,"50x100","Cerámico","Marmol","Beige","Mate","Rectificado"," $539.00 "," $359.33 ",19.57%," $289.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",521921254282911,"PISO CHICAGO GRAY 50X100 CM 2.0 M2/CAJA RECTIFICADO","M2",2,"50x100","Cerámico","Cemento","Gris","Mate","Rectificado"," $719.00 "," $359.50 ",19.61%," $289.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522683254478911,"PISO TOREO ANTRACITA 50X100 CM 2.0 M2/CAJA RECTIFICADO","M2",2,"50x100","Cerámico","Piedra","Gris","Mate","Rectificado"," $739.00 "," $369.50 ",21.79%," $289.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522515254863911,"PISO SOHO ALBINO 50X100 CM 2.0 M2/CAJA RECTIFICADO","M2",2,"50x100","Cerámico","Piedra","Gris","Mate","Rectificado"," $739.00 "," $369.50 ",21.79%," $289.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522799254011911,"PISO LIVING GRIS 50X100 CM 2.0 M2/CAJA RECTIFICADO","M2",2,"50x100","Cerámico","Marmol","Gris","Mate","Rectificado"," $739.00 "," $369.50 ",21.79%," $289.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522513254282911,"PISO SCANNO GRAY 50X100 CM 2.0 M2/CAJA RECTIFICADO","M2",2,"50x100","Cerámico","Piedra","Gris","Mate","Rectificado"," $769.00 "," $384.50 ",24.84%," $289.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522187254806911,"PISO MONARCA NIEBLA 50X100 CM 2.0 M2/CAJA RECTIFICADO","M2",2,"50x100","Cerámico","Marmol","Gris","Mate","Rectificado"," $729.00 "," $364.50 ",20.71%," $289.00 "," $-   "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS94012","PISO RECT NORUEGA 22 ROBLE 20X120 1.83M2","M2",1.83,"20X120","Cerámico","Madera","Café","Mate","Rectificado"," $629.00 "," $343.72 ",24.65%," $259.00 "," $249.00 "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS94018","PISO YUNN 32 NUEZ 30X120 1.76M2","M2",1.76,"30X120","Cerámico","Madera","Café","Estructurado","Rectificado"," $629.00 "," $357.39 ",27.53%," $259.00 "," $229.00 "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS100118","PISO IBIZA 62 GOLD SATINADO 60X120 2PZ 1.42M2","M2",1.42,"60X120","Cerámico","Marmol","Blanco","Satinado","Rectificado"," $559.00 "," $393.66 ",29.13%," $279.00 "," $249.00 "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS2512","PISO GINZA 62 PEARL 60X120 2 PZ 1.42 M2","M2",1.42,"60X120","Cerámico","Piedra","gris","Estructurado","Rectificado"," $459.00 "," $323.24 ",10.59%," $289.00 "," $249.00 "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS100116","PISO ARES SATINADO 60X120 2PZ 1.42M2","M2",1.42,"60X120","Cerámico","Marmol","blanco","Satinado","Rectificado"," $559.00 "," $393.66 ",29.13%," $279.00 "," $249.00 "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS2510","PISO GRECIA 62 BRILLO 60X120 2PZ 1.42M2","M2",1.42,"60X120","Cerámico","Marmol","blanco","Brillo","Rectificado"," $459.00 "," $323.24 ",10.59%," $289.00 "," $269.00 "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS100194","AMSTERDAM 62 GREY 60X120 2PZ 1.42M2","M2",1.42,"60X120","Cerámico","Piedra","Gris","Mate","Rectificado"," $559.00 "," $393.66 ",26.59%," $289.00 "," $279.00 "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS100195","AMSTERDAM 62 OXFORD 60X120 2PZ 1.42M2","M2",1.42,"60X120","Cerámico","Piedra","Gris","Mate","Rectificado"," $559.00 "," $393.66 ",26.59%," $289.00 "," $279.00 "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS2513","PISO IONIC 62 SILVER 60X120 2PZ 1.42M2","M2",1.42,"60X120","Cerámico","Cemento","gris","Brillo","Rectificado"," $459.00 "," $323.24 ",10.59%," $289.00 "," $279.00 "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS2511","PISO MARSELLA 62 BRILLO 60X120 2 PZS 1.42 M2","M2",1.42,"60X120","Cerámico","Marmol","blanco","Brillo","Rectificado"," $459.00 "," $323.24 ",10.59%," $289.00 "," $259.00 "
